,Zipcode,PropertyValueCount,MeanPropertyValue,MeanPropertyDollarValue,Lat,Lng,City,State,bank_count,bank_rating,supermarket_count,supermarket_rating,hospital_count,hospital_rating,cafe_count,cafe_rating
0,75205,6415,1606361.7942322681,"$1,606,362",32.832584,-96.797592,Dallas,TX,41,3.595121951219513,13,4.415384615384616,15,3.9466666666666668,46,3.819565217391305
1,75225,7633,1207824.1556399842,"$1,207,824",32.8695051,-96.78955739999999,Dallas,TX,37,3.483783783783783,8,4.3625,5,4.16,28,3.903571428571428
2,75201,1326,966758.0316742081,"$966,758",32.7863301,-96.79625279999999,Dallas,TX,35,3.477142857142857,12,4.208333333333333,14,3.714285714285714,26,4.003846153846153
3,75209,5424,723055.1880530973,"$723,055",32.8538717,-96.8190224,Dallas,TX,35,3.4828571428571427,11,4.172727272727273,9,4.111111111111111,33,3.9606060606060605
4,75230,9337,704637.7905108707,"$704,638",32.9005121,-96.78687939999999,Dallas,TX,40,3.3725,6,4.166666666666667,14,3.6285714285714286,21,4.071428571428571
5,75252,262,637696.7175572519,"$637,697",33.0008652,-96.797592,Dallas,TX,42,3.3666666666666663,7,4.2857142857142865,8,3.0500000000000003,15,4.02
6,75229,9031,605678.8949175064,"$605,679",32.8958284,-96.8726295,Dallas,TX,29,3.4000000000000004,12,4.083333333333333,4,3.0999999999999996,10,4.01
7,75220,5735,602532.2632955536,"$602,532",32.8621631,-96.8726295,Dallas,TX,24,3.720833333333333,9,4.088888888888889,5,4.08,11,4.027272727272727
8,75214,10429,557463.6638220347,"$557,464",32.824251,-96.7440467,Dallas,TX,44,3.379545454545455,10,4.3100000000000005,3,3.6999999999999997,29,3.7793103448275853
9,75039,2333,434458.07543934847,"$434,458",32.8916766,-96.9477532,Irving,TX,30,3.5400000000000005,3,3.9,5,3.66,6,3.6999999999999993
10,75019,11346,415797.6784769963,"$415,798",32.9618763,-96.99609249999999,Coppell,TX,16,3.3874999999999997,3,4.133333333333333,0,,8,3.35
11,75244,3272,411885.7946210269,"$411,886",32.9312475,-96.84046,Dallas,TX,38,3.2605263157894733,8,4.2,5,3.2599999999999993,16,4.05
12,75248,10904,398248.5564930301,"$398,249",32.9737114,-96.7815237,Dallas,TX,41,3.336585365853658,6,4.183333333333333,5,3.72,18,4.066666666666666
13,75182,2154,393062.18662952643,"$393,062",32.8066621,-96.5463156,Mesquite,TX,1,3.2,0,,1,2.3,1,4.2
14,75206,7188,389605.837506956,"$389,606",32.8225166,-96.77616859999999,Dallas,TX,41,3.4951219512195117,11,4.3545454545454545,11,3.9818181818181815,45,3.9133333333333318
15,75238,6772,381188.06704075605,"$381,188",32.8821116,-96.7119409,Dallas,TX,26,3.2230769230769223,11,4.136363636363637,4,3.85,10,3.8899999999999997
16,75219,8072,378755.9613478692,"$378,756",32.8122051,-96.81098519999999,Dallas,TX,39,3.6384615384615393,11,4.336363636363637,18,3.8444444444444446,38,3.9
17,75063,7748,371189.06556530716,"$371,189",32.9117167,-96.9907197,Irving,TX,24,3.279166666666667,3,3.9,3,3.0,16,3.4375
18,75038,2985,358436.9413735343,"$358,437",32.8721517,-96.99609249999999,Irving,TX,17,3.105882352941176,5,3.900000000000001,3,3.9666666666666663,18,3.483333333333333
19,75218,7906,356417.5562863648,"$356,418",32.837779,-96.7012424,Dallas,TX,11,3.072727272727273,3,4.233333333333333,2,3.3,10,4.02
20,75254,3376,346542.56812796206,"$346,543",32.9418531,-96.8002704,Dallas,TX,35,3.2428571428571424,9,4.133333333333334,9,3.5555555555555554,22,4.050000000000001
21,75204,4781,344788.79104789795,"$344,789",32.799475,-96.78687939999999,Dallas,TX,39,3.5051282051282047,13,4.2153846153846155,13,3.6307692307692303,20,4.045
22,75001,1989,315208.4917043741,"$315,208",32.9654778,-96.8297403,Addison,TX,37,3.2864864864864862,6,4.216666666666666,1,4.0,14,4.05
23,75240,2858,308293.06857942615,"$308,293",32.9309279,-96.7949137,Dallas,TX,33,3.218181818181818,9,4.133333333333334,10,3.54,0,
24,75082,784,305010.4081632653,"$305,010",32.9971512,-96.6584666,Richardson,TX,26,3.326923076923077,8,4.0125,4,3.5500000000000003,14,4.000000000000001
25,75080,10636,276603.71004136896,"$276,604",32.97602940000001,-96.7386946,Richardson,TX,37,3.3810810810810805,6,4.183333333333334,7,3.8571428571428577,15,4.1
26,75208,7078,272577.4554959028,"$272,577",32.7457134,-96.8458204,Dallas,TX,23,2.9260869565217384,9,4.188888888888889,3,3.2000000000000006,9,3.9666666666666663
27,75287,9,268850.0,"$268,850",32.9985237,-96.84046,Dallas,TX,39,3.353846153846154,4,4.275,2,4.15,15,4.1000000000000005
28,75048,5205,262223.07204610953,"$262,223",32.96270750000001,-96.56766250000001,Sachse,TX,5,3.8600000000000003,2,4.15,0,,5,4.28
29,75207,3,261223.33333333334,"$261,223",32.7891591,-96.82170169999999,Dallas,TX,37,3.391891891891891,7,4.214285714285714,17,3.758823529411765,25,4.008
30,75067,186,260862.311827957,"$260,862",33.0067086,-96.99609249999999,Lewisville,TX,27,3.244444444444444,5,3.8600000000000003,2,2.75,11,3.6545454545454543
31,75054,132,258998.63636363635,"$258,999",32.59417240000001,-97.04446709999999,Grand Prairie,TX,2,3.2,0,,0,,2,4.6
32,75089,9809,241449.39239473952,"$241,449",32.9355008,-96.5516517,Rowlett,TX,9,2.8000000000000003,3,4.133333333333334,1,2.5,6,4.266666666666667
33,75081,9617,236859.28460018718,"$236,859",32.9559018,-96.6958939,Richardson,TX,36,3.297222222222222,10,4.180000000000001,5,3.7,12,4.008333333333334
34,75044,12372,235470.86485612675,"$235,471",32.9629396,-96.6691579,Garland,TX,27,3.0074074074074075,9,4.088888888888889,3,3.5333333333333337,12,3.9916666666666667
35,75202,521,234487.63915547024,"$234,488",32.7774686,-96.8042882,Dallas,TX,36,3.455555555555555,10,4.01,14,3.7142857142857144,23,3.9565217391304346
36,75088,7093,225056.93218666292,"$225,057",32.8965009,-96.5463156,Rowlett,TX,9,2.8000000000000003,3,4.133333333333334,1,2.5,4,4.35
37,75231,5551,220365.0945775536,"$220,365",32.8798071,-96.75475220000001,Dallas,TX,38,3.207894736842105,8,4.05,13,3.638461538461539,28,3.8785714285714277
38,75098,582,215829.19243986256,"$215,829",33.0215727,-96.5143087,Wylie,TX,5,3.9,1,4.1,0,,2,4.05
39,75234,8313,213218.21965596054,"$213,218",32.9241691,-96.8672668,Dallas,TX,33,3.387878787878788,5,4.12,4,3.0999999999999996,12,4.041666666666667
40,75006,11095,202706.60928346103,"$202,707",32.9678449,-96.8887202,Carrollton,TX,20,3.075,8,4.2125,3,3.1333333333333333,6,4.133333333333334
41,75104,14527,202316.71095202037,"$202,317",32.5918484,-96.9853474,Cedar Hill,TX,7,3.2714285714285714,2,3.95,1,4.2,2,3.7
42,75007,583,200411.35506003432,"$200,411",33.0126814,-96.8887202,Carrollton,TX,24,3.0500000000000003,8,4.2250000000000005,6,2.783333333333333,8,4.1875
43,75243,10241,199184.425349087,"$199,184",32.9087285,-96.7386946,Dallas,TX,33,3.2909090909090906,10,3.97,14,3.6714285714285713,15,3.9333333333333327
44,75062,9437,196684.11995337502,"$196,684",32.8449965,-96.9799755,Irving,TX,27,3.2296296296296307,9,3.966666666666667,4,3.7,5,3.5
45,75115,15362,194795.32938419477,"$194,795",32.5989444,-96.85654269999999,DeSoto,TX,14,3.314285714285714,6,4.1499999999999995,1,4.6,2,3.85
46,75181,7876,186743.58684611478,"$186,744",32.71674369999999,-96.5463156,Mesquite,TX,1,2.9,0,,0,,1,4.2
47,75052,15529,182661.14495460107,"$182,661",32.67942,-97.0283383,Grand Prairie,TX,16,3.2687500000000003,6,4.35,2,4.0,8,4.0125
48,75246,333,176925.31531531533,"$176,925",32.7962048,-96.7694752,Dallas,TX,39,3.592307692307693,12,4.2,11,3.9818181818181815,29,3.8931034482758617
49,75043,16969,173927.72762095585,"$173,928",32.8493511,-96.5890166,Garland,TX,10,3.1700000000000004,3,3.966666666666667,2,4.55,3,3.733333333333333
50,75228,14837,172046.33416458854,"$172,046",32.8276924,-96.679851,Dallas,TX,20,2.96,6,4.0,2,3.3,5,4.22
51,75154,2813,169526.04692499113,"$169,526",32.5135255,-96.7708138,Red Oak,TX,4,3.3999999999999995,1,3.9,0,,1,4.1
52,75137,6213,168963.5216481571,"$168,964",32.6350855,-96.9155468,Duncanville,TX,18,3.188888888888889,3,4.233333333333333,7,3.857142857142857,5,3.72
53,75249,4705,166901.54091392137,"$166,902",32.6433636,-96.969233,Dallas,TX,3,3.6666666666666665,2,4.15,0,,5,3.8600000000000003
54,75040,17323,166787.83120706576,"$166,788",32.9368872,-96.6317461,Garland,TX,22,3.272727272727273,10,3.8599999999999994,2,3.05,8,4.0125
55,75235,2816,157215.29119318182,"$157,215",32.8296623,-96.8511814,Dallas,TX,35,3.5257142857142854,9,4.044444444444444,20,4.04,26,4.096153846153846
56,75233,3080,154419.91233766233,"$154,420",32.7049103,-96.8726295,Dallas,TX,17,2.9588235294117644,7,4.0,2,3.6,2,4.0
57,75042,8297,154384.89815596,"$154,385",32.9174964,-96.679851,Garland,TX,23,3.0782608695652174,16,4.01875,2,3.4,5,3.8199999999999994
58,75226,141,154256.8085106383,"$154,257",32.7802521,-96.7788461,Dallas,TX,37,3.5081081081081082,12,4.2,12,3.625,25,3.9799999999999995
59,75236,2771,151098.70083002525,"$151,099",32.6901244,-96.937016,Dallas,TX,5,2.6799999999999997,3,4.0,0,,2,4.45
60,75061,8543,148805.68652698115,"$148,806",32.8237425,-96.9584922,Irving,TX,19,3.2473684210526317,9,4.122222222222222,4,3.7,3,3.733333333333333
61,75146,6212,144395.2607855763,"$144,395",32.5704036,-96.76010570000001,Lancaster,TX,3,3.1999999999999997,2,3.8499999999999996,0,,0,
62,75116,5238,142668.8717067583,"$142,669",32.657579,-96.9155468,Duncanville,TX,14,3.0285714285714285,4,4.1,6,3.8000000000000003,3,3.733333333333333
63,75150,13463,142352.4608185397,"$142,352",32.824634,-96.6317461,Mesquite,TX,26,2.8730769230769226,6,4.05,2,4.35,5,3.9
64,75060,10620,142142.31073446327,"$142,142",32.8012869,-96.9584922,Irving,TX,10,3.2600000000000002,7,4.142857142857143,2,2.75,3,3.8333333333333335
65,75223,3317,140096.29484473923,"$140,096",32.7905558,-96.7440467,Dallas,TX,19,3.4210526315789473,9,4.177777777777778,8,3.8375000000000004,12,3.808333333333334
66,75041,7639,139995.09490771045,"$139,995",32.8778842,-96.64952199999999,Garland,TX,17,3.2647058823529407,12,4.058333333333333,3,3.6999999999999997,4,4.2
67,75134,5838,134655.5224391915,"$134,656",32.6356124,-96.80294889999999,Lancaster,TX,4,2.9,2,3.75,1,4.6,2,3.85
68,75149,15947,131274.01078572773,"$131,274",32.758351,-96.6103778,Mesquite,TX,15,3.1533333333333338,3,3.966666666666667,3,2.6333333333333333,1,4.2
69,75237,1359,128027.59381898455,"$128,028",32.6711817,-96.8726295,Dallas,TX,16,2.8125,7,3.9714285714285715,7,3.685714285714286,3,3.733333333333333
70,75224,7082,126318.71081615363,"$126,319",32.706669,-96.84046,Dallas,TX,22,2.845454545454545,11,4.009090909090909,3,3.533333333333333,2,4.0
71,75227,12542,123829.95455270291,"$123,830",32.7762864,-96.6958939,Dallas,TX,10,2.9899999999999998,6,3.5,0,,2,3.9000000000000004
72,75050,6239,122422.01955441578,"$122,422",32.7811446,-97.0175879,Grand Prairie,TX,5,2.6199999999999997,2,3.9000000000000004,2,3.6,2,4.15
73,75051,7789,118130.75105918603,"$118,131",32.7320972,-96.9907197,Grand Prairie,TX,9,2.911111111111111,5,3.9200000000000004,2,3.75,3,4.466666666666666
