,Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,6173361,Vanderhoof,33,CA,1565987587,39,54.02,-124.02,67.59,0.69
1,2122090,Pevek,0,RU,1565987587,85,69.7,170.27,36.81,1.77
2,3831208,Qaanaaq,0,GL,1565987588,44,77.48,-69.36,41.13,1.68
3,6138908,Saint-Philippe,90,CA,1565987588,57,45.36,-73.48,80.6,6.93
4,3369157,Cape Town,0,ZA,1565987588,67,-33.93,18.42,60.8,23.04
5,3460087,Jardim,3,BR,1565987421,31,-21.48,-56.15,85.77,4.32
6,3894426,Coihaique,40,CL,1565987589,50,-45.58,-72.07,53.6,4.7
7,6096551,Pangnirtung,75,CA,1565987589,81,66.15,-65.72,50.0,8.05
8,1273574,Vaini,43,IN,1565987589,90,15.34,74.49,75.87,1.12
9,3833367,Ushuaia,75,AR,1565987590,69,-54.81,-68.31,39.2,28.86
10,6201424,Mataura,100,NZ,1565987590,78,-46.19,168.86,42.01,4.0
11,4035715,Avarua,22,CK,1565987385,83,-21.21,-159.78,75.2,13.87
12,2037485,Erenhot,0,CN,1565987591,56,43.65,111.97,60.75,6.69
13,5304391,Mesa,1,US,1565987511,14,33.41,-111.83,109.99,5.82
14,1062663,Mahajanga,0,MG,1565987591,44,-15.72,46.32,75.2,10.29
15,2075265,Busselton,9,AU,1565987591,98,-33.64,115.35,43.0,28.9
16,1507116,Dudinka,0,RU,1565987592,77,69.41,86.18,62.6,11.18
17,3447597,Sidrolandia,0,BR,1565987592,22,-20.93,-54.96,87.8,10.29
18,4031574,Provideniya,100,RU,1565987592,67,64.42,-173.23,47.61,4.9
19,552465,Kargopol,0,RU,1565987592,92,61.51,38.95,49.23,4.32
20,1006984,East London,67,ZA,1565987592,74,-33.02,27.91,58.05,13.62
21,1244926,Hambantota,97,LK,1565987593,82,6.12,81.12,81.09,17.54
22,6185377,Yellowknife,75,CA,1565987515,76,62.45,-114.38,51.8,17.22
23,3609418,San Cristobal,85,HN,1565987593,57,14.68,-86.92,81.27,9.66
24,511416,Perelyub,100,RU,1565987594,45,51.87,50.37,74.07,8.7
25,2068110,Kununurra,34,AU,1565987594,71,-15.77,128.74,53.6,3.36
26,1633419,Padang,100,ID,1565987594,75,-0.92,100.36,79.29,1.99
27,2094342,Kavieng,100,PG,1565987594,74,-2.57,150.8,81.45,3.8
28,667306,Sfantu Gheorghe,0,RO,1565987595,72,44.65,26.83,71.01,4.7
29,2158744,Margate,75,AU,1565987595,87,-43.03,147.26,45.0,3.36
30,3899695,Ancud,40,CL,1565987595,76,-41.87,-73.83,51.8,8.05
31,5369568,Madera,1,US,1565987576,24,36.96,-120.06,105.01,5.82
32,2067119,Mandurah,75,AU,1565987596,87,-32.55,115.7,51.01,13.87
33,3874787,Punta Arenas,40,CL,1565987596,64,-53.16,-70.91,41.0,12.75
34,5960603,Geraldton,75,CA,1565987596,88,49.72,-86.95,64.4,8.05
35,3380290,Sinnamary,0,GF,1565987594,74,5.38,-52.96,82.89,19.55
36,1053384,Toamasina,40,MG,1565987337,93,-18.17,49.38,66.2,2.1
37,3595069,Jutiapa,75,GT,1565987597,88,14.29,-89.9,77.0,12.75
38,1624725,Tarakan,29,ID,1565987323,89,3.3,117.63,76.95,4.83
39,5880568,Bethel,90,US,1565987597,87,60.79,-161.76,59.0,12.75
40,4033356,Tiarei,20,PF,1565987597,69,-17.53,-149.33,82.4,4.7
41,2069194,Jamestown,46,AU,1565987597,95,-33.21,138.6,41.67,6.91
42,5106834,Albany,75,US,1565987598,61,42.65,-73.75,84.0,5.82
43,3896218,Castro,40,CL,1565987598,76,-42.48,-73.76,51.8,8.05
44,2160063,Codrington,0,AU,1565987598,93,-28.95,153.24,60.01,10.29
45,4030556,Rikitea,9,PF,1565987598,80,-23.12,-134.97,73.71,10.51
46,2208248,Kaitangata,100,NZ,1565987599,51,-46.28,169.85,43.0,4.0
47,4034551,Faanui,0,PF,1565987599,79,-16.48,-151.75,78.75,17.98
48,4501427,Port Elizabeth,75,US,1565987599,66,39.31,-74.98,87.8,10.29
49,1651810,Airai,48,TL,1565987599,88,-8.93,125.41,65.79,4.85
50,1865309,Katsuura,20,JP,1565987600,94,33.93,134.5,77.0,5.82
51,3870243,Taltal,80,CL,1565987600,82,-25.41,-70.49,53.73,5.61
52,3887127,Iquique,0,CL,1565987600,63,-20.22,-70.14,62.6,14.99
53,5855927,Hilo,20,US,1565987600,65,19.71,-155.08,82.99,9.17
54,2110227,Butaritari,80,KI,1565987601,72,3.07,172.79,83.79,10.22
55,5313667,Sedona,1,US,1565987601,13,34.87,-111.79,102.99,5.82
56,4407665,Kodiak,75,US,1565987602,65,39.95,-94.76,82.99,11.41
57,964432,Port Alfred,100,ZA,1565987602,80,-33.59,26.89,60.01,5.99
58,2754817,Harlingen,90,NL,1565987602,82,53.18,5.41,66.0,9.17
59,3671519,Puerto Carreno,75,CO,1565987598,94,6.19,-67.49,75.2,4.7
60,712886,Balta,0,UA,1565987602,76,47.94,29.62,55.17,8.05
61,933535,Letlhakane,0,BW,1565987603,32,-21.42,25.59,60.75,9.57
62,3419842,Sisimiut,100,GL,1565987603,95,66.94,-53.67,42.39,19.22
63,3424607,Tasiilaq,56,GL,1565987603,37,65.61,-37.64,53.6,8.05
64,3459909,Jeronimo Monteiro,40,BR,1565987603,83,-20.79,-41.4,57.69,4.65
65,3981941,Bellavista,40,MX,1565987604,55,21.56,-104.88,89.6,4.72
66,3981460,Coahuayana,52,MX,1565987604,65,18.62,-100.35,88.11,1.39
67,1728675,Balabac,85,PH,1565987604,87,7.99,117.06,80.01,5.79
68,3833859,Barrow,0,AR,1565987604,59,-38.31,-60.23,54.45,2.3
69,3443061,Chuy,100,UY,1565987605,88,-33.69,-53.46,56.97,8.3
70,610864,Khani,90,GE,1565987605,94,41.96,42.96,75.2,3.36
71,556268,Ostrovnoy,100,RU,1565987605,97,68.05,39.51,43.47,3.65
72,4278471,Russell,20,US,1565987605,58,38.9,-98.86,88.0,8.05
73,2062276,Roebourne,0,AU,1565987606,42,-20.77,117.15,60.93,7.11
74,5359864,Isla Vista,1,US,1565987606,31,34.41,-119.86,98.01,10.29
75,1015776,Bredasdorp,24,ZA,1565987606,82,-34.53,20.04,57.99,1.59
76,5969025,Haines Junction,100,CA,1565987606,87,60.75,-137.51,49.95,2.8
77,2063042,Port Hedland,0,AU,1565987607,100,-20.31,118.58,57.2,8.05
